127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:20, GET, /admin/default/index, HTTP/1.1, 303, 0.080000
127.0.0.1, 2015-09-29 15:41:20, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2015-09-29 15:41:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.075000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/css/calendar.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/jquery.js, HTTP/1.1, 304, 0.008000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/calendar.js, HTTP/1.1, 304, 0.009000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.004000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/js/share.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/images/background.jpg, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/images/twitter.png, HTTP/1.1, 304, 0.001000

127.0.0.1, 2015-09-29 15:41:25, GET, /AplicacaoTeste/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:43:39, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-29 15:43:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2015-09-29 15:43:42, GET, /admin/default/index, HTTP/1.1, 303, 0.091000
127.0.0.1, 2015-09-29 15:43:42, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2015-09-29 15:43:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 15:43:44, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.115000
127.0.0.1, 2015-09-29 15:44:38, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-09-29 15:44:38, GET, /welcome/default/index, HTTP/1.1, 200, 0.126000
127.0.0.1, 2015-09-29 15:44:42, GET, /admin/default/index, HTTP/1.1, 303, 0.092000
127.0.0.1, 2015-09-29 15:44:42, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2015-09-29 15:44:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-29 15:44:44, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.138000
127.0.0.1, 2015-09-29 15:45:03, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2015-09-29 15:45:03, GET, /welcome/default/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2015-09-29 15:45:07, GET, /admin/default/index, HTTP/1.1, 303, 0.094000
127.0.0.1, 2015-09-29 15:45:07, GET, /admin/default/site, HTTP/1.1, 200, 0.036000
127.0.0.1, 2015-09-29 15:45:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2015-09-29 15:45:09, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.087000
